SYMBOLIC NAME                          BUNDLE NAME                                              VERSION
com.adobe.cq.commerce.cq-commerce-pim  Adobe Communique 5 Commerce Product Information Manager  5.10.20
com.adobe.granite.distribution.core    Adobe Granite Sling Distribution - Core                  0.1.2.CQ610-B0008
pdfcore                                Adobe PDF Core                                           3.0.588259
pdfencryption                          Adobe PDF Encryption                                     3.0.588259
PDFServices.extraction                 Adobe PDF Extraction services                            3.0.588259
PDFServices.manipulations              Adobe PDF Manipulation services                          3.0.588259
org.apache.commons.fileupload          Apache Commons FileUpload                                1.3.3
org.apache.felix.http.jetty            Apache Felix Http Jetty                                  3.0.2.B002
org.apache.sling.scripting.sightly     Apache Sling Scripting Sightly Engine                    1.0.18.B002
org.apache.tika.core                   Apache Tika core                                         1.14.0
org.apache.tika.parsers                Apache Tika parsers                                      1.14.0
com.adobe.cq.cq-product-info-provider  CQ ProductInfo Provider                                  6.1.20
org.apache.commons.compress            Commons Compress                                         1.13.0
com.day.cq.dam.cq-dam-handler          Day Communique 5 DAM Asset Handler Implementation        5.8.50
com.day.cq.dam.cq-dam-core             Day Communique 5 DAM Core Implementation                 5.8.296
com.day.cq.dam.cq-dam-video            Day Communique 5 DAM Video Extensions                    5.8.6
com.day.cq.wcm.cq-wcm-core             Day Communique 5 WCM Core Implementation                 5.8.300
com.day.cq.wcm.cq-msm-core             Day Communique 5 WCM Multi Site Management Core          5.8.84
com.adobe.granite.poi                  OSGi bundle wrapper for the Apache POI library           2.0.0.CQ610-B0003
