SYMBOLIC NAME                          BUNDLE NAME                                      VERSION
com.adobe.cq.com.adobe.cq.ui.commons   AEM UI WCM Commons Bundle                        1.0.10.CQ620-B0003
com.adobe.cq.cq-content-insight        Adobe CQ Content Insight and Recommendations     1.2.32
com.day.cq.wcm.cq-wcm-foundation       Adobe CQ WCM Foundation Components               5.9.126
com.adobe.cq.wcm.cq-wcm-launches-core  Adobe Communique 5 WCM Launches Core             5.10.54
org.apache.felix.http.jetty            Apache Felix Http Jetty                          3.2.4.B012
org.apache.jackrabbit.vault            Apache Jackrabbit FileVault Core Bundle          3.2.0.R1833974
org.apache.sling.distribution.core     Apache Sling Distribution Core                   0.2.11.T20180619143200-4981256
org.apache.sling.scripting.jsp         Apache Sling Scripting JSP Support               2.2.6.P002
com.adobe.cq.cq-product-info-provider  CQ ProductInfo Provider                          6.2.30
com.day.cq.cq-commons                  Day Communique 5 Commons Library                 5.9.34
com.day.cq.mcm.cq-mcm-salesforce       Day Communique 5 MCM Salesforce.com Integration  1.3.10
com.day.cq.cq-mailer                   Day Communique 5 Mailer                          5.10.10
com.day.cq.cq-reporting                Day Communique 5 Reporting                       5.9.8
com.day.cq.cq-rewriter                 Day Communique 5 Rewriter                        5.9.36
com.day.cq.wcm.cq-wcm-core             Day Communique 5 WCM Core Implementation         5.9.406
com.day.cq.wcm.cq-msm-core             Day Communique 5 WCM Multi Site Management Core  5.9.104
com.adobe.granite.poi                  OSGi bundle wrapper for the Apache POI library   2.0.28
