SYMBOLIC NAME                                      BUNDLE NAME                                                                      VERSION
                                                                    
org.apache.commons.email                           Apache Commons Email                                                             1.5.0
org.apache.servicemix.bundles.rhino                Apache ServiceMix :: Bundles :: rhino                                            1.7.7.1_1
com.adobe.cq.cq-searchpromote-integration          AEM 6 - Adobe Search&Promote Integration                                         5.10.10
com.adobe.cq.cq-target-integration                 AEM 6 - Adobe Target integration                                                 1.1.54
com.adobe.cq.cq-analytics-integration              AEM 6 Analytics Integration Bundle                                               1.1.28
com.adobe.cq.social.cq-social-activitystreams      AEM Communities ActivityStreams - Bundle                                         1.4.20
com.adobe.cq.social.cq-social-calendar-impl        AEM Communities Calendar - Impl Bundle                                           1.4.12
com.adobe.cq.social.cq-social-commons              AEM Communities Commons - Bundle                                                 1.8.18
com.adobe.cq.social.cq-social-console              AEM Communities Console - Bundle                                                 1.4.11
com.adobe.cq.social.cq-social-ideation-impl        AEM Communities Ideation - Bundle                                                1.0.12
com.adobe.cq.social.cq-social-journal              AEM Communities Journal - Bundle                                                 1.4.15
com.adobe.cq.social.cq-social-messaging-impl       AEM Communities Messaging - Impl Bundle                                          1.4.23
com.adobe.cq.social.cq-social-notifications-api    AEM Communities Notifications - API Bundle                                       1.1.14
com.adobe.cq.social.cq-social-notifications-impl   AEM Communities Notifications - IMPL Bundle                                      1.1.25
com.day.cq.cq-personalization                      AEM Personalization                                                              5.10.62
com.adobe.cq.com.adobe.cq.sites.ui                 AEM Sites - UI Utilities                                                         0.1.16
com.adobe.cq.cq-dam-mac-sync                       Adobe CQ DAM - Adobe Marketing Cloud Synchronisation Bundle                      1.3.28
com.adobe.cq.cq-dam-mac-sync-helper                Adobe CQ DAM - Adobe Marketing Cloud Synchronisation Helper                      1.3.18
com.adobe.cq.media.cq-media-publishing-dps-fp-api  Adobe CQ Media Publishing DPS Folio Producer Web Service Integration API Bundle  5.10.8
com.day.cq.wcm.cq-wcm-translation                  Adobe CQ Translation Workflow                                                    1.3.128
com.day.cq.wcm.cq-wcm-scripting-support            Adobe CQ WCM Scripting Support                                                   1.0.12
com.adobe.cq.sightly.cq-wcm-sightly-extension      Adobe Experience Manager HTL Extension                                           1.4.32
com.adobe.granite.asset.core                       Adobe Granite Asset API Implementation                                           2.2.50.CQ631-B0004
com.adobe.granite.crx-packagemgr                   Adobe Granite CRX Package Manager                                                1.2.26.CQ630-B0006
com.adobe.granite.crxde-lite                       Adobe Granite CRXDE Lite                                                         1.1.14.CQ630-B0004
com.adobe.granite.comments                         Adobe Granite Commenting Support                                                 1.0.24.CQ630-B0002
com.adobe.granite.crypto.keystore                  Adobe Granite Crypto Keystore                                                    3.3.4.CQ630-B0001
com.adobe.granite.maintenance.core                 Adobe Granite Maintenance Core                                                   1.3.8.CQ630-B0006
com.adobe.granite.rest.assets                      Adobe Granite RESTful API Assets                                                 1.0.48.CQ630-B0004
com.day.cq.cq-replication                          Adobe Granite Replication                                                        6.2.26.CQ630-B0001
com.day.crx.sling.crx-auth-token                   Adobe Granite Token Authentication                                               2.5.30.CQ630-B0002
