SYMBOLIC NAME                                       BUNDLE NAME                                                   VERSION
com.adobe.cq.cq-experience-fragments                AEM - Experience Fragments                                    1.0.138
com.adobe.cq.com.adobe.cq.ui.commons                AEM - Touch Optimized UI Commons                              1.2.27.CQ630-B0001
com.adobe.cq.cq-target-integration                  AEM 6 - Adobe Target integration                              1.1.60
com.adobe.cq.cq-analytics-integration               AEM 6 Analytics Integration Bundle                            1.1.30
com.adobe.cq.social.cq-social-activitystreams       AEM Communities ActivityStreams - Bundle                      1.4.24
com.adobe.cq.social.cq-social-as-provider           AEM Communities AdobeSocial Resource Provider - Bundle        1.3.17
com.adobe.cq.social.cq-social-calendar-impl         AEM Communities Calendar - Impl Bundle                        1.4.13
com.adobe.cq.social.cq-social-commons               AEM Communities Commons - Bundle                              1.8.31
com.adobe.cq.social.cq-social-console               AEM Communities Console - Bundle                              1.4.19
com.adobe.cq.social.cq-social-enablement-impl       AEM Communities Enablement Impl - Bundle                      2.1.18
com.adobe.cq.social.cq-social-reporting-management  AEM Communities Enablement Reporting Management- Bundle       1.1.25
com.adobe.cq.social.cq-social-forum                 AEM Communities Forum - Bundle                                1.6.17
com.adobe.cq.social.cq-social-handlebars            AEM Communities Handlebars Scripting Engine - Bundle          1.8.2
com.adobe.cq.social.cq-social-jcr-provider-common   AEM Communities JCR Resource Provider Common Code - Bundle    1.2.12
com.adobe.cq.social.cq-social-members-impl          AEM Communities Members Impl - Bundle                         1.1.26
com.adobe.cq.social.cq-social-messaging-api         AEM Communities Messaging - API Bundle                        1.4.15
com.adobe.cq.social.cq-social-messaging-impl        AEM Communities Messaging - Impl Bundle                       1.4.28
com.adobe.cq.social.cq-social-ms-provider           AEM Communities Mongo Storage Resource Provider - Bundle      1.0.21
com.adobe.cq.social.cq-social-notifications-api     AEM Communities Notifications - API Bundle                    1.1.16
com.adobe.cq.social.cq-social-notifications-impl    AEM Communities Notifications - IMPL Bundle                   1.1.29
com.adobe.cq.social.cq-social-rdb-provider          AEM Communities Relational Social Resource Provider - Bundle  1.1.21
com.adobe.cq.social.cq-social-scf-api               AEM Communities SCF - API Bundle                              2.0.19
com.adobe.cq.social.cq-social-scf-impl              AEM Communities SCF - Impl Bundle                             2.0.19
com.adobe.cq.social.cq-social-srp-impl              AEM Communities SRP - Impl Bundle                             1.2.42
com.adobe.cq.social.cq-social-srp-api               AEM Communities SRP Base - API Bundle                         1.2.35
com.adobe.cq.social.cq-social-tally                 AEM Communities Tally - Bundle                                1.4.9
com.day.cq.cq-personalization                       AEM Personalization                                           5.10.70
com.adobe.cq.com.adobe.cq.sites.ui                  AEM Sites - UI Utilities                                      0.1.18
com.adobe.cq.cq-contexthub-commons                  Adobe CQ ContextHub Commons                                   0.2.2
com.adobe.cq.cq-dam-mac-sync                        Adobe CQ DAM - Adobe Marketing Cloud Synchronisation Bundle   1.3.40
com.adobe.cq.cq-dam-mac-sync-helper                 Adobe CQ DAM - Adobe Marketing Cloud Synchronisation Helper   1.3.20
com.adobe.cq.dam.cq-scene7-imaging                  Adobe CQ DAM Scene7 Dynamic Imaging                           1.4.144
com.day.cq.wcm.cq-wcm-translation                   Adobe CQ Translation Workflow                                 1.3.134
com.adobe.cq.wcm.cq-wcm-launches-core               Adobe Communique 5 WCM Launches Core                          5.11.24
com.adobe.granite.offloading.core                   Adobe Granite Offloading Core                                 1.0.56.CQ630-B0001
com.adobe.granite.omnisearch.core                   Adobe Granite Omnisearch Core Module                          1.0.68.CQ630-B0006
com.adobe.granite.rest.api                          Adobe Granite RESTful API Core                                1.0.82.CQ630-B0002
com.day.cq.cq-replication                           Adobe Granite Replication                                     6.2.26.CQ630-B0002
com.adobe.granite.security.user                     Adobe Granite Security Module                                 0.2.62.CQ630-B0006
com.adobe.granite.distribution.core                 Adobe Granite Sling Distribution - Core                       0.2.10.CQ630-B0002
