SYMBOLIC NAME                              BUNDLE NAME                                             VERSION
com.adobe.cq.cq-target-integration         AEM 6 - Adobe Target integration                        1.0.242
com.adobe.cq.social.cq-social-as-provider  AEM Communities AdobeSocial Resource Provider - Bundle  1.2.68
com.day.cq.cq-personalization              AEM Personalization                                     5.9.318
com.day.cq.cq-replication                  Adobe Granite Replication                               6.0.14.CQ620-B0022
com.adobe.granite.ui.clientlibs            Adobe Granite UI Clientlibs                             1.0.42.CQ620-B0001
com.day.cq.dam.cq-dam-similaritysearch     DAM Similarity Search Bundle                            5.9.44
com.day.cq.dam.cq-dam-scene7               Day Communique 5 DAM Scene7 Integration                 5.9.68
com.day.cq.cq-rewriter                     Day Communique 5 Rewriter                               5.9.38
com.day.cq.cq-security                     Day Communique 5 Security                               5.9.42
com.day.cq.wcm.cq-wcm-designimporter       Day Communique 5 WCM Design Importer                    1.3.22
