SYMBOLIC NAME                                               BUNDLE NAME                                                   VERSION
com.adobe.bp.bp-cloudservice                                Adobe Brand Portal Cloudservice configuration                 0.1.0.CQ630-B006
org.apache.commons.commons-compress                         Apache Commons Compress                                       1.18.0
updater.aem-6.3.3-cfp                                       updater.aem-6.3.3-cfp                                         1.0
com.adobe.cq.cq-experience-fragments                        AEM - Experience Fragments                                    1.0.146
com.adobe.cq.cq-socialmedia-integration                     AEM - Social Media Integration                                1.0.26
com.adobe.cq.com.adobe.cq.ui.commons                        AEM - Touch Optimized UI Commons                              1.2.27.CQ630-B0002
com.adobe.cq.cq-target-integration                          AEM 6 - Adobe Target integration                              1.1.66
com.adobe.cq.cq-analytics-integration                       AEM 6 Analytics Integration Bundle                            1.1.32
com.adobe.cq.social.cq-social-activitystreams               AEM Communities ActivityStreams - Bundle                      1.4.33
com.adobe.cq.social.cq-social-calendar-api                  AEM Communities Calendar - API Bundle                         1.4.11
com.adobe.cq.social.cq-social-calendar-impl                 AEM Communities Calendar - Impl Bundle                        1.4.23
com.adobe.cq.social.cq-social-commons                       AEM Communities Commons - Bundle                              1.8.64
com.adobe.cq.social.cq-social-group                         AEM Communities CommunityGroup - Bundle                       1.5.20
com.adobe.cq.social.cq-social-console                       AEM Communities Console - Bundle                              1.4.35
com.adobe.cq.social.cq-social-enablement-api                AEM Communities Enablement Api - Bundle                       2.1.10
com.adobe.cq.social.cq-social-enablement-impl               AEM Communities Enablement Impl - Bundle                      2.1.22
com.adobe.cq.social.cq-social-reporting-management          AEM Communities Enablement Reporting Management- Bundle       1.1.26
com.adobe.cq.social.cq-social-forum                         AEM Communities Forum - Bundle                                1.6.22
com.adobe.cq.social.cq-social-handlebars                    AEM Communities Handlebars Scripting Engine - Bundle          1.8.11
com.adobe.cq.social.cq-social-ideation-impl                 AEM Communities Ideation - Bundle                             1.0.17
com.adobe.cq.social.cq-social-ideation-api                  AEM Communities Ideation API - Bundle                         1.0.9
com.adobe.cq.social.cq-social-journal                       AEM Communities Journal - Bundle                              1.4.21
com.adobe.cq.social.cq-social-members-api                   AEM Communities Members API - Bundle                          1.1.16
com.adobe.cq.social.cq-social-members-impl                  AEM Communities Members Impl - Bundle                         1.1.31
com.adobe.cq.social.cq-social-messaging-impl                AEM Communities Messaging - Impl Bundle                       1.4.30
com.adobe.cq.social.cq-social-notifications-api             AEM Communities Notifications - API Bundle                    1.1.19
com.adobe.cq.social.cq-social-notifications-impl            AEM Communities Notifications - IMPL Bundle                   1.1.34
com.adobe.cq.social.cq-social-qna                           AEM Communities QnA - Bundle                                  1.5.26
com.adobe.cq.social.cq-social-rdb-provider                  AEM Communities Relational Social Resource Provider - Bundle  1.1.29
com.adobe.cq.social.cq-social-scf-impl                      AEM Communities SCF - Impl Bundle                             2.0.25
com.adobe.cq.social.cq-social-srp-api                       AEM Communities SRP Base - API Bundle                         1.2.41
com.adobe.cq.social.cq-social-graph-impl                    AEM Communities SocialGraph Impl - Bundle                     1.2.6
com.adobe.cq.social.cq-social-moderation-spamdetector-core  AEM Communities Spam Detection Core - Bundle                  2.3.8
com.adobe.cq.social.cq-social-sync                          AEM Communities Sync - Bundle                                 1.1.7
com.adobe.cq.social.cq-social-ugc-search-collections        AEM Communities UGC SearchCollections - Bundle                2.3.4
com.adobe.cq.social.cq-social-user-ugc-management           AEM Communities User Ugc Moderation - Bundle                  1.0.1
com.day.cq.cq-personalization                               AEM Personalization                                           5.10.86
com.adobe.xmp.worker.files.native.fragment.linux            Adobe - XMPFiles Worker platform fragment linux               1.0.8
com.adobe.xmp.worker.files.native.fragment.macosx           Adobe - XMPFiles Worker platform fragment macosx              1.0.8
com.adobe.xmp.worker.files.native.fragment.win              Adobe - XMPFiles Worker platform fragment win                 1.0.8
com.adobe.cq.cq-content-insight                             Adobe CQ Content Insight and Recommendations                  1.3.8
com.adobe.cq.dam.cq-dam-svg-handler                         Adobe CQ Creative Cloud APIs - DAM SVG Asset Handler          0.2.8
com.adobe.cq.cq-dam-mac-sync                                Adobe CQ DAM - Adobe Marketing Cloud Synchronisation Bundle   1.3.44
com.adobe.cq.cq-dam-mac-sync-helper                         Adobe CQ DAM - Adobe Marketing Cloud Synchronisation Helper   1.3.24
com.adobe.cq.dam.cq-scene7-imaging                          Adobe CQ DAM Scene7 Dynamic Imaging                           1.4.162
com.adobe.cq.cq-experiencelog                               Adobe CQ Experience Log Client Bundle                         1.2.10
com.day.cq.wcm.cq-wcm-translation                           Adobe CQ Translation Workflow                                 1.3.148
com.day.cq.wcm.cq-wcm-foundation                            Adobe CQ WCM Foundation Components                            5.10.86
com.adobe.cq.commerce.cq-commerce-core                      Adobe Communique 5 Commerce Core                              5.15.54
com.adobe.cq.wcm.cq-wcm-launches-core                       Adobe Communique 5 WCM Launches Core                          5.11.26
com.day.cq.dam.dam-webdav-support                           Adobe DAM WebDAV Support                                      1.2.18
afml                                                        Adobe FO Markup Layout Library                                3.0.595117
com.adobe.granite.cors                                      Adobe Granite CORS Support                                    1.0.4.CQ630-B0004
com.adobe.granite.crx-packagemgr                            Adobe Granite CRX Package Manager                             1.2.26.CQ630-B0020
com.adobe.granite.csrf                                      Adobe Granite CSRF Framework                                  1.0.16.CQ630-B0004
com.adobe.granite.auth.oauth                                Adobe Granite OAuth Authentication Handler                    1.3.10.CQ630-B0010
com.day.cq.cq-replication                                   Adobe Granite Replication                                     6.2.26.CQ630-B0016
com.adobe.granite.jetty.ssl                                 Adobe Granite SSL ContextFactory for Jetty                    0.0.14.CQ630-B0002
com.adobe.granite.security.user                             Adobe Granite Security Module                                 0.2.62.CQ630-B0008
com.day.crx.sling.crx-auth-token                            Adobe Granite Token Authentication                            2.5.30.CQ630-B0006
com.adobe.granite.ui.clientlibs.processor.gcc               Adobe Granite UI Clientlibs - Google Closure Compiler         1.0.6.CQ630-B0008
com.adobe.granite.ui.commons                                Adobe Granite UI Commons                                      5.7.6.CQ630-B0010
com.day.cq.cq-xssprotection                                 Adobe Granite XSS Protection                                  5.6.0.CQ630-B0010
pdfcore                                                     Adobe PDF Core                                                3.0.604301
pdfencryption                                               Adobe PDF Encryption                                          3.0.604301
PDFServices.extraction                                      Adobe PDF Extraction services                                 3.0.604301
PDFServices.manipulations                                   Adobe PDF Manipulation services                               3.0.604301
PDFServices.security                                        Adobe PDF Security services                                   3.0.604301
org.apache.commons.codec                                    Apache Commons Codec                                          1.13.0
org.apache.commons.io                                       Apache Commons IO                                             2.6.0
com.day.commons.osgi.wrapper.fop                            Apache FOP bundle                                             1.16.0
org.apache.felix.http.jetty                                 Apache Felix Http Jetty                                       4.0.6
org.apache.felix.http.sslfilter                             Apache Felix Http SSL Filter                                  1.2.4
org.apache.felix.http.whiteboard                            Apache Felix Http Whiteboard                                  4.0.0
org.apache.felix.webconsole                                 Apache Felix Web Management Console                           4.3.12
org.apache.jackrabbit.jackrabbit-api                        Apache Jackrabbit API                                         2.14.8
org.apache.jackrabbit.vault                                 Apache Jackrabbit FileVault Core Bundle                       3.2.5.R1844726
org.apache.sling.engine                                     Apache Sling Engine Implementation                            2.6.10
org.apache.sling.featureflags                               Apache Sling Feature Flags                                    1.2.2
org.apache.sling.models.api                                 Apache Sling Models API                                       1.3.8
org.apache.sling.models.impl                                Apache Sling Models Implementation (Adobe Vendor Branch)      1.4.10
org.apache.sling.commons.log                                Apache Sling SLF4J Implementation (Logback)                   5.0.2.B010
org.apache.sling.scripting.sightly.compiler.java            Apache Sling Scripting HTL Java Compiler                      1.0.26.1_4_0-B001
org.apache.sling.security                                   Apache Sling Security                                         1.1.16
org.apache.sling.servlets.resolver                          Apache Sling Servlet Resolver                                 2.4.23.B002
org.apache.sling.startupfilter                              Apache Sling Startup Filter                                   0.0.1.Rev1764485
org.apache.tika.core                                        Apache Tika core                                              1.18.0
org.apache.tika.parsers                                     Apache Tika parsers                                           1.18.0
com.adobe.cq.cq-product-info-provider                       CQ ProductInfo Provider                                       6.3.39
com.adobe.cq.com.adobe.cq.projects.core                     CQ Projects - Core Bundle                                     0.3.72
com.adobe.dam.cq-dam-cfm-impl                               ContentFragmentManagement - Implementation                    0.9.130
com.day.cq.dam.cq-dam-similaritysearch                      DAM Similarity Search Bundle                                  5.10.102
day-commons-jstl                                            Day Commons Library - JavaServer Pages Standard Tag Library   1.2.2
com.day.cq.mcm.cq-mcm-campaign                              Day Communique 5 Adobe Campaign Integration                   1.2.18
com.day.cq.cq-commons                                       Day Communique 5 Commons Library                              5.10.34
com.day.cq.dam.cq-dam-api                                   Day Communique 5 DAM API                                      5.10.56
com.day.cq.dam.adobe-xmp                                    Day Communique 5 DAM Adobe extension                          5.10.2
com.day.cq.dam.cq-dam-handler                               Day Communique 5 DAM Asset Handler Implementation             5.10.38
com.day.cq.dam.cq-dam-commons                               Day Communique 5 DAM Commons                                  5.10.172
com.day.cq.dam.cq-dam-core                                  Day Communique 5 DAM Core Implementation                      5.10.332
com.day.cq.dam.cq-dam-indesign                              Day Communique 5 DAM InDesign Integration                     5.10.36
com.day.cq.dam.cq-dam-scene7                                Day Communique 5 DAM Scene7 Integration                       5.10.104
com.day.cq.mcm.cq-mcm-salesforce                            Day Communique 5 MCM Salesforce.com Integration               1.4.10
com.day.cq.cq-replication-audit                             Day Communique 5 Replication - Auditing                       5.10.10
com.day.cq.cq-reporting                                     Day Communique 5 Reporting                                    5.10.4
com.day.cq.cq-rewriter                                      Day Communique 5 Rewriter                                     5.10.32
com.day.cq.wcm.cq-wcm-content-sync                          Day Communique 5 WCM Content Sync Extensions                  5.10.8
com.day.cq.wcm.cq-wcm-core                                  Day Communique 5 WCM Core Implementation                      5.10.314
com.day.cq.wcm.cq-msm-core                                  Day Communique 5 WCM Multi Site Management Core               5.10.72
com.day.cq.wcm.cq-wcm-taglib                                Day Communique 5 WCM Tag Lib                                  5.12.4
com.day.cq.wcm.cq-wcm-webservice-support                    Day Communique 5 WCM Webservice Support                       5.10.18
com.day.cq.dam.cq-dam-s7dam                                 Day Communique 5.6 DAM s7 Dam Integration                     5.10.130
com.adobe.granite.translation.connector.msft.core           Granite Translation - Microsoft Connector Core Bundle         1.2.32
org.apache.jackrabbit.jackrabbit-data                       Jackrabbit Data                                               2.14.8
org.apache.jackrabbit.jackrabbit-jcr-commons                Jackrabbit JCR Commons                                        2.14.8
org.apache.jackrabbit.jackrabbit-jcr-rmi                    Jackrabbit JCR-RMI                                            2.14.8
org.apache.jackrabbit.jackrabbit-spi                        Jackrabbit SPI                                                2.14.8
org.apache.jackrabbit.jackrabbit-spi-commons                Jackrabbit SPI Commons                                        2.14.8
org.apache.jackrabbit.jackrabbit-webdav                     Jackrabbit WebDAV Library                                     2.14.8
com.fasterxml.jackson.core.jackson-annotations              Jackson-annotations                                           2.10.0
com.fasterxml.jackson.core.jackson-core                     Jackson-core                                                  2.10.0
org.apache.jackrabbit.oak-blob                              Oak Blob Store                                                1.6.20
org.apache.jackrabbit.oak-authorization-cug                 Oak CUG Authorization                                         1.6.20
org.apache.jackrabbit.oak-commons                           Oak Commons                                                   1.6.20
org.apache.jackrabbit.oak-core                              Oak Core                                                      1.6.20
org.apache.jackrabbit.oak-auth-external                     Oak External Authentication Support                           1.6.20
org.apache.jackrabbit.oak-jcr                               Oak JCR Binding                                               1.6.20
org.apache.jackrabbit.oak-auth-ldap                         Oak LDAP Authentication Support                               1.6.20
org.apache.jackrabbit.oak-lucene                            Oak Lucene                                                    1.6.20
org.apache.jackrabbit.oak-segment-tar                       Oak Segment Tar                                               1.6.20
org.apache.jackrabbit.oak-solr-osgi                         Oak Solr OSGi                                                 1.6.20
com.fasterxml.jackson.core.jackson-databind                 jackson-databind                                              2.10.0
jcl.over.slf4j                                              jcl-over-slf4j                                                1.7.25
log4j.over.slf4j                                            log4j-over-slf4j                                              1.7.25
org.mongodb.mongo-java-driver                               mongo-java-driver                                             3.6.4
slf4j.api                                                   slf4j-api                                                     1.7.25
