SYMBOLIC NAME                                           BUNDLE NAME                                                  VERSION
com.adobe.cq.cq-contexthub-commons                      Adobe CQ ContextHub Commons                                  0.1.4
com.day.cq.dam.cq-dam-entitlement                       Adobe CQ DAM Entitlement Implementation                      0.1.12
com.adobe.cq.cq-dam-companionsupport                    AEM Assets Companion Support                                 1.0.10
com.adobe.cq.cq-dam-mac-sync-helper                     Adobe CQ DAM - Adobe Marketing Cloud Synchronisation Helper  1.1.16
com.day.cq.wcm.cq-wcm-translation                       Adobe CQ Translation Workflow                                1.1.118
com.day.cq.wcm.cq-wcm-foundation                        Adobe CQ WCM Foundation Components                           5.8.90
com.adobe.cq.commerce.cq-commerce-core                  Adobe Communique 5 Commerce Core                             5.13.22
com.adobe.cq.cq-history                                 Adobe Communique 5 History                                   5.8.6
com.day.cq.cq-upgrades-executor                         Adobe Communique 5 Upgrades Executor                         1.2.4.B0004
com.adobe.cq.wcm.cq-wcm-launches-core                   Adobe Communique 5 WCM Launches Core                         5.9.64
com.adobe.cq.sightly.cq-wcm-sightly-extension           Adobe Experience Manager Sightly Extension                   1.2.34
com.adobe.granite.auth.saml                             Adobe Granite - SAML 2.0 Authentication Handler              0.3.32.CQ610-B0012
com.adobe.granite.asset.core                            Adobe Granite Asset API Implementation                       2.2.22.CQ610-B14
com.day.cq.cq-authhandler                               Adobe Granite Authentication Handler                         5.6.26.CQ610-B0006
com.adobe.granite.crx-packagemgr                        Adobe Granite CRX Package Manager                            1.0.62.CQ610-B0014
com.adobe.granite.contexthub.commons                    Adobe Granite ContextHub Commons                             0.1.13.CQ610-B005
com.adobe.granite.installer.factory.packages            Adobe Granite Installer for Content Packages                 1.0.14
com.adobe.granite.license                               Adobe Granite License Module                                 1.0.12.CQ610-B0002
com.adobe.granite.offloading.core                       Adobe Granite Offloading Core                                1.0.32.CQ610-B0004
com.adobe.granite.offloading.workflow                   Adobe Granite Offloading Workflow                            1.0.4.CQ610-B0002
com.adobe.granite.rest.assets                           Adobe Granite RESTful API Assets                             1.0.0.CQ610-B0006
com.adobe.granite.rest.api                              Adobe Granite RESTful API Core                               1.0.2.CQ610-B0003
com.adobe.granite.references.core                       Adobe Granite References Core Bundle                         1.0.2.CQ610-B0002
com.day.cq.cq-replication                               Adobe Granite Replication                                    5.17.18.CQ610-B018
com.adobe.granite.security.user                         Adobe Granite Security Module                                0.1.56.CQ610-B0014
com.day.cq.cq-widgets                                   Adobe Granite UI Commons                                     5.5.210.CQ610-B0006
com.adobe.granite.workflow.core                         Adobe Granite Workflow Core                                  1.0.114.CQ610-B0032
com.day.cq.cq-xssprotection                             Adobe Granite XSS Protection                                 5.5.72
pdfcore                                                 Adobe PDF Core                                               3.0.580276
pdfencryption                                           Adobe PDF Encryption                                         3.0.580276
PDFServices.extraction                                  Adobe PDF Extraction services                                3.0.580276
PDFServices.manipulations                               Adobe PDF Manipulation services                              3.0.580276
com.adobe.xmp.core                                      Adobe XMP Core Duo                                           1.0.3
com.adobe.xmp.xmpcore                                   Adobe XMPCore                                                6.2.6
org.apache.httpcomponents.httpclient                    Apache Apache HttpClient OSGi bundle                         4.5.2
org.apache.httpcomponents.httpcore                      Apache Apache HttpCore OSGi bundle                           4.4.5
org.apache.felix.http.sslfilter                         Apache Felix Http SSL Filter                                 1.1.2.B0001
org.apache.jackrabbit.vault                             Apache Jackrabbit FileVault Core Bundle                      3.1.35.R1785214
org.apache.sling.auth.core                              Apache Sling Authentication Service                          1.3.26.B002
org.apache.sling.servlets.get                           Apache Sling Default GET Servlets                            2.1.22.B001
org.apache.sling.distribution.api                       Apache Sling Distribution API                                0.3.0
org.apache.sling.distribution.core                      Apache Sling Distribution Core                               0.2.7.r1793810
org.apache.sling.event                                  Apache Sling Event Support                                   3.7.6.B012
org.apache.sling.installer.core                         Apache Sling Installer                                       3.6.6
org.apache.sling.scripting.sightly                      Apache Sling Scripting Sightly Engine                        1.0.2.B001
org.apache.sling.security                               Apache Sling Security                                        1.0.18.B001
org.apache.sling.extensions.webconsolesecurityprovider  Apache Sling Web Console Security Provider                   1.1.6
com.adobe.cq.cq-pre-upgrade-backup                      CQ Pre-upgrade Backup                                        6.2.8.B0004
com.adobe.cq.cq-product-info-provider                   CQ ProductInfo Provider                                      6.1.12
com.day.cq.mcm.cq-mcm-campaign                          Day Communique 5 Adobe Campaign Integration                  1.0.28
com.day.cq.cq-analytics                                 Day Communique 5 Analytics                                   5.8.228
com.day.cq.cq-audit                                     Day Communique 5 Audit Bundle                                5.8.26
com.day.cq.cq-compat-codeupgrade                        Day Communique 5 Code Upgrade service                        1.5.6.B0008
com.day.cq.cq-commons                                   Day Communique 5 Commons Library                             5.8.48
com.day.cq.dam.cq-dam-api                               Day Communique 5 DAM API                                     5.8.60
com.day.cq.dam.cq-dam-handler                           Day Communique 5 DAM Asset Handler Implementation            5.8.46
com.day.cq.dam.cq-dam-commons                           Day Communique 5 DAM Commons                                 5.8.140
com.day.cq.dam.cq-dam-core                              Day Communique 5 DAM Core Implementation                     5.8.274
com.day.cq.dam.cq-dam-indesign                          Day Communique 5 DAM InDesign Integration                    5.8.32
com.day.cq.dam.cq-dam-scene7                            Day Communique 5 DAM Scene7 Integration                      5.8.78
com.day.cq.dam.cq-dam-video                             Day Communique 5 DAM Video Extensions                        5.8.4
com.day.cq.dam.cq-dam-word                              Day Communique 5 DAM Word Integration                        5.8.8
com.day.cq.cq-widgets-ext                               Day Communique 5 Ext Widgets                                 5.8.6
com.day.cq.cq-personalization                           Day Communique 5 Personalization                             5.8.92
com.day.cq.cq-rewriter                                  Day Communique 5 Rewriter                                    5.8.18
com.day.cq.cq-search                                    Day Communique 5 Search                                      5.8.34
com.day.cq.cq-searchpromote                             Day Communique 5 Search&Promote Integration                  5.8.40
com.day.cq.cq-security                                  Day Communique 5 Security                                    5.8.34
com.day.cq.cq-tagging                                   Day Communique 5 Tagging                                     5.8.24
com.day.cq.wcm.cq-wcm-commons                           Day Communique 5 WCM Commons                                 5.8.16
com.day.cq.wcm.cq-wcm-core                              Day Communique 5 WCM Core Implementation                     5.8.290
com.day.cq.wcm.cq-wcm-designimporter                    Day Communique 5 WCM Design Importer                         1.2.16
com.day.cq.wcm.cq-msm-api                               Day Communique 5 WCM Multi Site Management API               5.9.2
com.day.cq.wcm.cq-msm-core                              Day Communique 5 WCM Multi Site Management Core              5.8.80
com.day.cq.workflow.cq-workflow-impl                    Day Communique 5 Workflow Implementation                     5.8.26
com.day.cq.dam.cq-dam-s7dam                             Day Communique 5.6 DAM s7 Dam Integration                    5.8.98
com.adobe.granite.translation.connector.msft.core       Granite Translation - Microsoft Connector Core Bundle        1.1.46
org.h2.mvstore                                          H2 MVStore                                                   1.4.190
org.apache.jackrabbit.oak-blob                          Oak Blob Store                                               1.2.18
org.apache.jackrabbit.oak-commons                       Oak Commons                                                  1.2.18
org.apache.jackrabbit.oak-core                          Oak Core                                                     1.2.18
org.apache.jackrabbit.oak-auth-external                 Oak External Authentication Support                          1.2.18
org.apache.jackrabbit.oak-auth-ldap                     Oak LDAP Authentication Support                              1.2.18
org.apache.jackrabbit.oak-lucene                        Oak Lucene                                                   1.2.18
org.apache.jackrabbit.oak-mk-api                        Oak MicroKernel API (Deprecated)                             1.2.18
org.apache.jackrabbit.oak-solr-osgi                     Oak Solr OSGi                                                1.2.18
org.apache.jackrabbit.oak-tarmk-standby                 Oak TarMK Standby                                            1.2.18
com.adobe.granite.repository                            Oak content repository                                       1.1.98
