SYMBOLIC NAME                                      BUNDLE NAME                                                                      VERSION
org.apache.servicemix.bundles.rhino                Apache ServiceMix :: Bundles :: rhino                                            1.7.7.1_1
com.adobe.cq.social.cq-social-activitystreams      AEM Communities ActivityStreams - Bundle                                         1.4.19
com.adobe.cq.social.cq-social-commons              AEM Communities Commons - Bundle                                                 1.8.12
com.adobe.cq.social.cq-social-notifications-api    AEM Communities Notifications - API Bundle                                       1.1.14
com.adobe.cq.social.cq-social-notifications-impl   AEM Communities Notifications - IMPL Bundle                                      1.1.25
com.day.cq.cq-personalization                      AEM Personalization                                                              5.10.62
com.adobe.cq.cq-dam-mac-sync                       Adobe CQ DAM - Adobe Marketing Cloud Synchronisation Bundle                      1.3.24
com.adobe.cq.cq-dam-mac-sync-helper                Adobe CQ DAM - Adobe Marketing Cloud Synchronisation Helper                      1.3.14
com.adobe.cq.media.cq-media-publishing-dps-fp-api  Adobe CQ Media Publishing DPS Folio Producer Web Service Integration API Bundle  5.10.8
com.day.cq.wcm.cq-wcm-translation                  Adobe CQ Translation Workflow                                                    1.3.128
com.adobe.granite.asset.core                       Adobe Granite Asset API Implementation                                           2.2.50.CQ630-B0001
com.adobe.granite.crx-packagemgr                   Adobe Granite CRX Package Manager                                                1.2.26.CQ630-B0006
com.adobe.granite.crxde-lite                       Adobe Granite CRXDE Lite                                                         1.1.14.CQ630-B0004
com.adobe.granite.comments                         Adobe Granite Commenting Support                                                 1.0.24.CQ630-B0002
com.adobe.granite.crypto.keystore                  Adobe Granite Crypto Keystore                                                    3.3.4.CQ630-B0001
com.adobe.granite.maintenance.core                 Adobe Granite Maintenance Core                                                   1.3.8.CQ630-B0006
com.day.crx.sling.crx-auth-token                   Adobe Granite Token Authentication                                               2.5.30.CQ630-B0002
com.adobe.granite.workflow.core                    Adobe Granite Workflow Core                                                      2.0.100.CQ630-B0012
com.day.cq.cq-xssprotection                        Adobe Granite XSS Protection                                                     5.6.0.CQ630-B0002
org.apache.jackrabbit.jackrabbit-api               Apache Jackrabbit API                                                            2.14.2
org.apache.sling.auth.core                         Apache Sling Authentication Service                                              1.4.0
org.apache.sling.scripting.sightly.compiler        Apache Sling Scripting HTL Compiler                                              1.0.14
org.apache.sling.scripting.sightly                 Apache Sling Scripting HTL Engine                                                1.0.42
org.apache.sling.scripting.sightly.compiler.java   Apache Sling Scripting HTL Java Compiler                                         1.0.14
org.apache.sling.scripting.sightly.js.provider     Apache Sling Scripting HTL JavaScript Use Provider                               1.0.24
org.apache.sling.scripting.jsp                     Apache Sling Scripting JSP Support                                               2.2.6.B002
org.apache.sling.scripting.javascript              Apache Sling Scripting JavaScript Support                                        3.0.2
com.adobe.cq.cq-product-info-provider              CQ ProductInfo Provider                                                          6.3.12
com.adobe.cq.com.adobe.cq.projects.core            CQ Projects - Core Bundle                                                        0.3.64
com.day.cq.cq-commons                              Day Communique 5 Commons Library                                                 5.10.28
com.day.cq.dam.cq-dam-commons                      Day Communique 5 DAM Commons                                                     5.10.140
com.day.cq.dam.cq-dam-core                         Day Communique 5 DAM Core Implementation                                         5.10.230.NPR-19674-B0002
com.day.cq.dam.cq-dam-scene7                       Day Communique 5 DAM Scene7 Integration                                          5.10.88
com.day.cq.dam.cq-dam-s7dam                        Day Communique 5.6 DAM s7 Dam Integration                                        5.10.108
org.apache.jackrabbit.jackrabbit-data              Jackrabbit Data                                                                  2.14.2
org.apache.jackrabbit.jackrabbit-jcr-commons       Jackrabbit JCR Commons                                                           2.14.2
org.apache.jackrabbit.jackrabbit-jcr-rmi           Jackrabbit JCR-RMI                                                               2.14.2
org.apache.jackrabbit.jackrabbit-spi               Jackrabbit SPI                                                                   2.14.2
org.apache.jackrabbit.jackrabbit-spi-commons       Jackrabbit SPI Commons                                                           2.14.2
org.apache.jackrabbit.jackrabbit-webdav            Jackrabbit WebDAV Library                                                        2.14.2
org.apache.jackrabbit.oak-blob                     Oak Blob Store                                                                   1.6.5
org.apache.jackrabbit.oak-authorization-cug        Oak CUG Authorization                                                            1.6.5
org.apache.jackrabbit.oak-commons                  Oak Commons                                                                      1.6.5
org.apache.jackrabbit.oak-core                     Oak Core                                                                         1.6.5
org.apache.jackrabbit.oak-auth-external            Oak External Authentication Support                                              1.6.5
org.apache.jackrabbit.oak-jcr                      Oak JCR Binding                                                                  1.6.5
org.apache.jackrabbit.oak-auth-ldap                Oak LDAP Authentication Support                                                  1.6.5
org.apache.jackrabbit.oak-lucene                   Oak Lucene                                                                       1.6.5
org.apache.jackrabbit.oak-segment-tar              Oak Segment Tar                                                                  1.6.5
org.apache.jackrabbit.oak-solr-osgi                Oak Solr OSGi                                                                    1.6.5
